Logging to output/continuous/PPO/train/10-06-2024-23-33-22/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.6         |
|    ep_rew_mean          | -16.6        |
| time/                   |              |
|    fps                  | 319          |
|    iterations           | 4            |
|    time_elapsed         | 3            |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0078077847 |
|    clip_fraction        | 0.0344       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -7.62e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 25.4         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00588     |
|    std                  | 0.999        |
|    value_loss           | 61.6         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 17.5          |
|    ep_rew_mean          | -17.5         |
| time/                   |               |
|    fps                  | 325           |
|    iterations           | 8             |
|    time_elapsed         | 6             |
|    total_timesteps      | 2048          |
| train/                  |               |
|    approx_kl            | 0.00090711564 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -2.83         |
|    explained_variance   | -0.000163     |
|    learning_rate        | 0.0001        |
|    loss                 | 30.2          |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.00132      |
|    std                  | 0.996         |
|    value_loss           | 67.8          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 17.9          |
|    ep_rew_mean          | -17.9         |
| time/                   |               |
|    fps                  | 336           |
|    iterations           | 12            |
|    time_elapsed         | 9             |
|    total_timesteps      | 3072          |
| train/                  |               |
|    approx_kl            | 0.00027208752 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -2.83         |
|    explained_variance   | -0.000218     |
|    learning_rate        | 0.0001        |
|    loss                 | 31.8          |
|    n_updates            | 110           |
|    policy_gradient_loss | -0.000701     |
|    std                  | 0.998         |
|    value_loss           | 67.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.7         |
|    ep_rew_mean          | -18.7        |
| time/                   |              |
|    fps                  | 336          |
|    iterations           | 16           |
|    time_elapsed         | 12           |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0049511697 |
|    clip_fraction        | 0.0184       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -1.6e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 32.2         |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00589     |
|    std                  | 0.995        |
|    value_loss           | 68           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.5        |
|    ep_rew_mean          | -18.5       |
| time/                   |             |
