Logging to output/continuous/PPO/train/11-06-2024-00-08-51/
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.6        |
|    ep_rew_mean          | -16.6       |
| time/                   |             |
|    fps                  | 301         |
|    iterations           | 4           |
|    time_elapsed         | 3           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.007942831 |
|    clip_fraction        | 0.0402      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.000651    |
|    learning_rate        | 0.0001      |
|    loss                 | 29.2        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00952    |
|    std                  | 0.996       |
|    value_loss           | 66.8        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 17.5          |
|    ep_rew_mean          | -17.5         |
| time/                   |               |
|    fps                  | 284           |
|    iterations           | 8             |
|    time_elapsed         | 7             |
|    total_timesteps      | 2048          |
| train/                  |               |
|    approx_kl            | 0.00015514228 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -2.83         |
|    explained_variance   | 2.62e-05      |
|    learning_rate        | 0.0001        |
|    loss                 | 30.5          |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.000836     |
|    std                  | 0.997         |
|    value_loss           | 68.2          |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.9        |
|    ep_rew_mean          | -17.9       |
| time/                   |             |
|    fps                  | 295         |
|    iterations           | 12          |
|    time_elapsed         | 10          |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.011933932 |
|    clip_fraction        | 0.0996      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 1.98e-05    |
|    learning_rate        | 0.0001      |
|    loss                 | 27          |
|    n_updates            | 106         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.999       |
|    value_loss           | 69.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.7        |
|    ep_rew_mean          | -18.7       |
| time/                   |             |
|    fps                  | 289         |
|    iterations           | 16          |
|    time_elapsed         | 14          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.009908566 |
|    clip_fraction        | 0.0693      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | -6.79e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 30.9        |
|    n_updates            | 144         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 1           |
|    value_loss           | 68.8        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 18.5      |
|    ep_rew_mean          | -18.5     |
