Logging to output/discrete/PPO/train/11-06-2024-14-41-52/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.2         |
|    ep_rew_mean          | -16.9        |
| time/                   |              |
|    fps                  | 700          |
|    iterations           | 4            |
|    time_elapsed         | 1            |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0024114803 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | -0.000373    |
|    learning_rate        | 0.0001       |
|    loss                 | 32.3         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00443     |
|    value_loss           | 57.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.9        |
|    ep_rew_mean          | -11.2       |
| time/                   |             |
|    fps                  | 810         |
|    iterations           | 8           |
|    time_elapsed         | 2           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.012928629 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.851      |
|    explained_variance   | 7.65e-05    |
|    learning_rate        | 0.0001      |
|    loss                 | 17.9        |
|    n_updates            | 55          |
|    policy_gradient_loss | -0.0268     |
|    value_loss           | 38.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.6         |
|    ep_rew_mean          | -3.6        |
| time/                   |             |
|    fps                  | 897         |
|    iterations           | 12          |
|    time_elapsed         | 3           |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.009129104 |
|    clip_fraction        | 0.0566      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.496      |
|    explained_variance   | 0.295       |
|    learning_rate        | 0.0001      |
|    loss                 | 2.44        |
|    n_updates            | 76          |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 6.56        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.87        |
|    ep_rew_mean          | -2.87       |
| time/                   |             |
|    fps                  | 971         |
|    iterations           | 16          |
|    time_elapsed         | 4           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.006641635 |
|    clip_fraction        | 0.0417      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.253      |
|    explained_variance   | 0.475       |
|    learning_rate        | 0.0001      |
|    loss                 | 1.28        |
|    n_updates            | 96          |
|    policy_gradient_loss | -0.019      |
|    value_loss           | 1.61        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.72       |
|    ep_rew_mean          | -2.72      |
| time/                   |            |
|    fps                  | 1017       |
|    iterations           | 20         |
|    time_elapsed         | 5          |
|    total_timesteps      | 5120       |
| train/                  |            |
